21,0,0,0,0,0,   //城番号
5200,2000000,1,1,243,20,0,0,0,0,   //幅,    城体力,    生産最低F,生産最高F,    背景種類,    出現最大数,以後未使用
499,3,100,120,150,100,7,9,0,300
638,1,200,1,1,100,7,7,0,720
149,2,300,30,30,100,7,9,0,300
149,1,500,1,1,100,7,9,0,300
149,2,0,30,60,99,7,9,0,300
788,1,0,1,1,99,0,0,1,100
49,3,0,1500,1500,99,5,6,0,300,0,0
499,0,50,250,300,99,7,9,0,300,0,0,1
638,0,100,600,700,99,7,7,0,720,0,0,1
149,2,200,30,60,99,7,9,0,300,0,0,1
554,8,300,400,500,99,7,9,0,720,0,0,1
56,1,500,1,1,99,3,4,0,360,0,0,1
149,1,1000,30,60,99,7,9,0,300,0,0,1
149,2,1600,30,60,99,7,9,0,300,0,0,1
149,1,2200,30,60,99,7,9,0,300,0,0,1
149,3,2800,700,800,99,7,9,0,300,0,0,1

//敵は１ステージ最大１０種類
