			0	22	777	301	0
		อุ๊ปส์! มีงานแทรก<br>แต่ไว้จะขอให้ช่วยคราวหลังนะ!<br>เอานี่ไปก่อนสำหรับที่ช่วยมาตลอด!	0	22	300
1	0	เฮ้ เจ้ามือใหม่!<br>มีงานด่วนมา!	2
2	0	ช่วงนี้พวกไคจิน<br>กำลังแกร่งขึ้น	3
3	0	ภัยคุกคามจากไคจินมากมายขนาดนี้<br>เรนเจอร์แมวเหมียว<br>คงรับมือไม่ไหวหรอก<br>เรายินดีรับความช่วยเหลือทุกรูปแบบ!	4
4	0	และฉันคิดว่า นี่แหละคือบททดสอบ<br>ที่เหมาะสำหรับผู้ที่ใฝ่ฝัน<br>อยากเป็นเรนเจอร์!<br>ไง? พร้อมรับคำท้าไหม?	5	20
5	0	ขอบคุณมากเลย!<br>ยินดีต้อนรับสู่ทีม!	6
6	0	ก่อนอื่น คุณควรสอบใบอนุญาต<br>เรนเจอร์ก่อน เพื่อให้แน่ใจว่า<br>มีคุณสมบัติเหมาะสม	7
7	0	ฉันมั่นใจว่าคุณจะสอบผ่านได้ง่ายๆ<br>และกลายเป็นเรนเจอร์ที่ยอดเยี่ยม!	8
8	0	เดี๋ยวก็ได้มาร่วมรักษาความสงบ<br>เรียบร้อยของเมืองกับเราแล้ว!	9
9	0	ฉันจะช่วยคุณเตรียมสอบเอง<br>แล้วคุณจะสอบผ่านสบายแน่!	10
10	0	อีกอย่าง<br>โปรดชวนเพื่อนๆ มาเล่นเกม<br>The Battle Cats ด้วยกันเถอะ!	11
11	0	ยิ่งมีเรนเจอร์มากเท่าไหร่<br>โลกก็ยิ่งปลอดภัย<br>มากขึ้นเท่านั้น เนอะ?	12
12	0	มันจะช่วยเราได้มาก<br>หากเพื่อนของคุณสมัครเข้าร่วม<br>เป็นเรนเจอร์ด้วย!	13
13	0	The Battle Cats ยังคงผงาดต่อไป!<br>แคมเปญไร้ที่สิ้นสุดยังคงดำเนินต่อไป<br>ชวนเพื่อนๆ มาร่วมต่อสู้<br>เพื่อร่วมสนับสนุนภารกิจของแมว!	14
14	0	ชวนเพื่อนตรงๆ เลยก็ได้!	15
15	0	ยื่นอุ้งมือมาช่วยเรา<br>แล้วเราจะมอบ<flash>อาหารแมว<br>เป็นรางวัลตอบแทน<br>ให้คุณมากมายเลย</flash>!	16
16	0	เราจะตั้งตารอที่จะได้ต่อสู้<br>กับความชั่วร้ายเคียงข้างคุณ<br>และเพื่อนๆ ของคุณ!	17
17	0	ดังนั้น ว่าที่เรนเจอร์<br>พรุ่งนี้คุณจะต้องสอบ<br>ครั้งแรกแล้วนะ!	18
18	16	อย่าลืม<br>ชวนเพื่อนๆ ล่ะ!<br>พรุ่งนี้เป็นวันสำคัญ!	101
20	0	เฮ้อ! ใส่หมวกกันน็อกนี้แล้ว<br>ไม่ได้ยินอะไรเลย! คุณพูดว่าอะไรนะ<br>ว่าที่เรนเจอร์?	21
21	0	ฟังนะ<br>ฉันจะขอความช่วยเหลือเล็กน้อย<br>พอจะมีเวลาฟังฉันสักนาทีไหม?	5	20
101	0	ขอบคุณที่มานะ!<br>ดีใจที่ได้พบคุณทุกครั้งเลย!	102
102	0	คุณชวนเพื่อนมาลองเล่น<br>The Battle Cats ใช่ไหม?	103	120
103	0	ขอบคุณมากเลย!<br>ช่วยกันบอกต่อไปเรื่อยๆ นะ<br>อีกไม่นานเราก็จะมี<br>ทีมเรนเจอร์หน้าใหม่สักที!	104
104	0	แต่ก่อนอื่นเลย...<br>เราต้องเดินเอกสารของคุณ<br>ให้เสร็จสำหรับขั้นตอน<br>การทดสอบความถนัดก่อน	105
105	0	การทดสอบแรกนี้<br>จะตัดสินว่าคุณมีคุณสมบัติเหมาะสม<br>ที่จะเป็นเรนเจอร์หรือไม่	106
106	0	โอ้โห เอกสารมีตั้ง 222 หน้า!<br>ใครจะไปมีเวลากรอกหมดเนี่ย?<br>เยอะเกินไปแล้ว!	107
107	0	ไม่ต้องกังวลไป<br>ฉันใช้ AI ของซีพียูแมว<br>กรอกข้อมูลทุกอย่างให้หมดแล้ว...<br>ยกเว้นคำถามสุดท้ายน่ะ	108
108	0	คำพูดติดปากของคุณคือ...<br>"โดนัททอด!" เหรอ?<br>เอาเถอะ	109
109	0	ฟังนะ ช่วยตอบคำถามสุดท้ายนี้<br>ให้จริงจังหน่อยสิ<br>มันสำคัญมากนะ!	110
110	0	"คุณชอบเรนเจอร์แมวเหมียว<br>ตัวไหนมากที่สุด?"	111
111	0	ว้าว ยากจังเลย!<br>มีคำตอบในใจหรือยัง?	112
112	0	เรนเจอร์แมวเหมียวสีแดง<br>ผู้ดุดันและร้อนแรงคือแมวเหมียว<br>ตัวโปรดของคุณใช่ไหม?	113	130
113	0	โอ้ ขอบคุณมาก!<br>รู้สึกเป็นเกียรติอย่างยิ่ง!	114
114	0	ตอนคิดนี่ คุณไม่ลังเลเลยสักนิด!<br>เขียนคำว่า "เรนเจอร์สีแดง"<br>ตัวใหญ่ๆ ชัดๆ เลยนะ	115
