Attacco unità +|
Difesa unità +|
Accelerazione unità +|
Livello base cannone +|
Livello base impiegato +|
Più soldi iniziali|
Attacco cannone +|
Ricarica cannone +|
Efficienza impiegato +|
Max Gatto impiegato +|
Difesa Base +|
Potenza ricerca +|
Bonus +|
Ricompense in XP +|
Effetti "Efficace" +|
Effetti "Danni enormi" +|
Effetti "Resistente" +|
Effetti "Respinta" +|
Effetti "Rallentamento" +|
Effetti "Immobilità" +|
Effetti "Indebolimento" +|
Effetti "Rafforza" +|
"Witch Killer" Effects Up|
"EVA Angel Killer" Effects Up|
Ritmo "Danni critici" +|
Effetti "ammazza-Kaijin"|
Effetti "Immune da ondate"|
Costo ridotto|
Immune da att. a valanga|
